# name	title	url
brew	Brew	https://www.raycast.com/nhojb/brew
change-case	Change Case	https://www.raycast.com/erics118/change-case
cleanshotx	CleanShot X	https://www.raycast.com/Aayush9029/cleanshotx
coffee	Coffee	https://www.raycast.com/mooxl/coffee
color-picker	Color Picker	https://www.raycast.com/thomas/color-picker
devutils	DevUtils	https://www.raycast.com/devutils/devutils
docker	Docker	https://www.raycast.com/priithaamer/docker
easydict	Easy Dictionary	https://www.raycast.com/isfeng/easydict
emoji	Emoji Search	https://www.raycast.com/FezVrasta/emoji
ghostty	Ghostty	https://www.raycast.com/jarry_chung/ghostty
github	GitHub	https://www.raycast.com/raycast/github
google-chrome	Google Chrome	https://www.raycast.com/Codely/google-chrome
json-format	Format JSON	https://www.raycast.com/destiner/json-format
kill-process	Kill Process	https://www.raycast.com/rolandleth/kill-process
mole	Mole	https://www.raycast.com/jlrochin/mole
port-manager	Port Manager	https://www.raycast.com/lucaschultz/port-manager
quick-event	Quick Event	https://www.raycast.com/mblode/quick-event
raycast-system-monitor	System Monitor	https://www.raycast.com/hossammourad/raycast-system-monitor
typewhisper	TypeWhisper	https://www.raycast.com/SeoFood/typewhisper
visual-studio-code	Visual Studio Code	https://www.raycast.com/thomas/visual-studio-code
